blk_no,street,road_name,address,latiude,longtitude,postal
314,PUNGGOL WAY,PUNGGOL WAY,314 PUNGGOL WAY WATERWAY CASCADIA SINGAPORE 820314,1.408440742,103.897171,820314
314A,PUNGGOL WAY,PUNGGOL WAY,314A PUNGGOL WAY WATERWAY CASCADIA SINGAPORE 821314,1.408261878,103.8980179,821314
314B,PUNGGOL WAY,PUNGGOL WAY,314B PUNGGOL WAY WATERWAY CASCADIA SINGAPORE 822314,1.407897787,103.8973708,822314
315,PUNGGOL WAY,PUNGGOL WAY,315 PUNGGOL WAY WATERWAY CASCADIA SINGAPORE 820315,1.407955876,103.8969352,820315
315A,PUNGGOL WAY,PUNGGOL WAY,315A PUNGGOL WAY WATERWAY CASCADIA SINGAPORE 821315,1.408316774,103.897053,821315
315B,PUNGGOL WAY,PUNGGOL WAY,315B PUNGGOL WAY WATERWAY CASCADIA SINGAPORE 822315,1.407956027,103.8964008,822315
316,PUNGGOL WAY,PUNGGOL WAY,316B PUNGGOL WAY WATERWAY CASCADIA SINGAPORE 822316,1.408946658,103.8979255,822316
316A,PUNGGOL WAY,PUNGGOL WAY,316A PUNGGOL WAY WATERWAY CASCADIA SINGAPORE 821316,1.408901659,103.8984078,821316
316B,PUNGGOL WAY,PUNGGOL WAY,316B PUNGGOL WAY WATERWAY CASCADIA SINGAPORE 822316,1.408946658,103.8979255,822316
316C,PUNGGOL WAY,PUNGGOL WAY,316C PUNGGOL WAY WATERWAY CASCADIA SINGAPORE 823316,1.408975775,103.8970248,823316
316D,PUNGGOL WAY,PUNGGOL WAY,316D PUNGGOL WAY WATERWAY CASCADIA SINGAPORE 824316,1.408793114,103.8968121,824316
321,SUMANG WALK,SUMANG WALK,321A SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 821321,1.410743732,103.8972493,821321
322,SUMANG WALK,SUMANG WALK,322 SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 820322,1.411247035,103.8975014,820322
322A,SUMANG WALK,SUMANG WALK,322A SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 821322,1.411394471,103.8970324,821322
322B,SUMANG WALK,SUMANG WALK,322B SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 822322,1.410915885,103.8968867,822322
322C,SUMANG WALK,SUMANG WALK,322C SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 823322,1.410519051,103.8965814,823322
322D,SUMANG WALK,SUMANG WALK,322D SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 824322,1.410036287,103.8963802,824322
323A,SUMANG WALK,SUMANG WALK,323A SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 821323,1.412391371,103.8982337,821323
323B,SUMANG WALK,SUMANG WALK,323B SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 822323,1.412057106,103.8977616,822323
323C,SUMANG WALK,SUMANG WALK,323C SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 823323,1.412666703,103.8976014,823323
323D,SUMANG WALK,SUMANG WALK,323D SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 824323,1.412188117,103.8974557,824323
324,SUMANG WALK,SUMANG WALK,324 SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 820324,1.413172309,103.8984192,820324
325,SUMANG WALK,SUMANG WALK,325 SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 820325,1.413462032,103.8987513,820325
325A,SUMANG WALK,SUMANG WALK,325A SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 821325,1.413596604,103.8981213,821325
325B,SUMANG WALK,SUMANG WALK,325B SUMANG WALK PUNGGOL BAYVIEW SINGAPORE 822325,1.413121366,103.8979273,822325
326,SUMANG WALK,SUMANG WALK,326 SUMANG WALK PUNGGOL VUE SINGAPORE 820326,1.413143525,103.8995269,820326
326A,SUMANG WALK,SUMANG WALK,326A SUMANG WALK PUNGGOL VUE SINGAPORE 821326,1.412992901,103.8993268,821326
326B,SUMANG WALK,SUMANG WALK,326B SUMANG WALK PUNGGOL VUE SINGAPORE 822326,1.41260504,103.8997332,822326
326C,SUMANG WALK,SUMANG WALK,326C SUMANG WALK PUNGGOL VUE SINGAPORE 823326,1.412404594,103.9001778,823326
327,SUMANG WALK,SUMANG WALK,327 SUMANG WALK PUNGGOL VUE SINGAPORE 820327,1.412311876,103.9000614,820327
327A,SUMANG WALK,SUMANG WALK,327A SUMANG WALK PUNGGOL VUE SINGAPORE 821327,1.412436132,103.8991336,821327
327B,SUMANG WALK,SUMANG WALK,327B SUMANG WALK PUNGGOL VUE SINGAPORE 822327,1.412255691,103.8995758,822327
327C,SUMANG WALK,SUMANG WALK,327C SUMANG WALK PUNGGOL VUE SINGAPORE 823327,1.412069303,103.8999743,823327
614,EDGEFIELD PLAINS,EDGEFIELD PLAINS,614 EDGEFIELD PLAINS PUNGGOL SPRING SINGAPORE 820614,1.403314508,103.9096798,820614
614A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,614A EDGEFIELD PLAINS PUNGGOL SPRING SINGAPORE 821614,1.403584212,103.9092641,821614
614B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,614B EDGEFIELD PLAINS PUNGGOL SPRING SINGAPORE 822614,1.402903237,103.9100575,822614
615,EDGEFIELD PLAINS,EDGEFIELD PLAINS,615 EDGEFIELD PLAINS PUNGGOL SPRING SINGAPORE 820615,1.40397439,103.9097879,820615
615A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,615A EDGEFIELD PLAINS PUNGGOL SPRING SINGAPORE 821615,1.403860564,103.909541,821615
615B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,615B EDGEFIELD PLAINS PUNGGOL SPRING SINGAPORE 822615,1.403745882,103.9098829,822615
615C,EDGEFIELD PLAINS,EDGEFIELD PLAINS,615C EDGEFIELD PLAINS PUNGGOL SPRING SINGAPORE 823615,1.403558837,103.9101535,823615
658,PUNGGOL EAST,PUNGGOL EAST,658A PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 821658,1.400175685,103.9197201,821658
658A,PUNGGOL EAST,PUNGGOL EAST,658A PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 821658,1.400175685,103.9197201,821658
658B,PUNGGOL EAST,PUNGGOL EAST,658B PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 822658,1.400212828,103.9190528,822658
658C,PUNGGOL EAST,PUNGGOL EAST,658C PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 823658,1.400549817,103.9186502,823658
659,PUNGGOL EAST,PUNGGOL EAST,659 PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 820659,1.401021619,103.9195784,820659
659A,PUNGGOL EAST,PUNGGOL EAST,659A PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 821659,1.400527833,103.9197574,821659
659B,PUNGGOL EAST,PUNGGOL EAST,659B PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 822659,1.400746549,103.9191493,822659
659C,PUNGGOL EAST,PUNGGOL EAST,659C PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 823659,1.401225385,103.9191307,823659
659D,PUNGGOL EAST,PUNGGOL EAST,659D PUNGGOL EAST WATERWAY SUNRAY SINGAPORE 824659,1.400929148,103.9188836,824659
660,EDGEDALE PLAINS,EDGEDALE PLAINS,660 EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 820660,1.402857184,103.9167749,820660
660A,EDGEDALE PLAINS,EDGEDALE PLAINS,660A EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 821660,1.402621973,103.9165196,821660
661,EDGEDALE PLAINS,EDGEDALE PLAINS,661 EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 820661,1.402362738,103.9176456,820661
661A,EDGEDALE PLAINS,EDGEDALE PLAINS,661A EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 821661,1.403030566,103.9170807,821661
661B,EDGEDALE PLAINS,EDGEDALE PLAINS,661B EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 822661,1.402485648,103.9167514,822661
661C,EDGEDALE PLAINS,EDGEDALE PLAINS,661C EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 823661,1.402071587,103.91748,823661
662,EDGEDALE PLAINS,EDGEDALE PLAINS,662 EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 820662,1.401879277,103.9183987,820662
662A,EDGEDALE PLAINS,EDGEDALE PLAINS,662A EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 821662,1.402004486,103.9183264,821662
662B,EDGEDALE PLAINS,EDGEDALE PLAINS,662B EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 822662,1.401721537,103.918691,822662
662C,EDGEDALE PLAINS,EDGEDALE PLAINS,662C EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 823662,1.401391816,103.9185139,823662
662D,EDGEDALE PLAINS,EDGEDALE PLAINS,662D EDGEDALE PLAINS WATERWAY SUNDEW SINGAPORE 824662,1.40167256,103.9180028,824662
668,EDGEFIELD PLAINS,EDGEFIELD PLAINS,668B EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 822668,1.404782919,103.9129785,822668
668A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,668A EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 821668,1.405018801,103.9124119,821668
668B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,668B EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 822668,1.404782919,103.9129785,822668
669,EDGEFIELD PLAINS,EDGEFIELD PLAINS,669 EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 820669,1.4052044,103.913815,820669
669A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,669A EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 821669,1.404909749,103.9139695,821669
669B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,669B EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 822669,1.404536069,103.9140128,822669
670,EDGEFIELD PLAINS,EDGEFIELD PLAINS,670 EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 820670,1.405822436,103.9132458,820670
670A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,670A EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 821670,1.405383412,103.9129608,821670
670B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,670B EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 822670,1.40532418,103.9132807,822670
670C,EDGEFIELD PLAINS,EDGEFIELD PLAINS,670C EDGEFIELD PLAINS WATERWAY RIDGES SINGAPORE 823670,1.405342858,103.9139333,823670
671,EDGEFIELD PLAINS,EDGEFIELD PLAINS,671B EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 822671,1.406191183,103.9116993,822671
671A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,671A EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 821671,1.406059242,103.9120207,821671
671B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,671B EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 822671,1.406191183,103.9116993,822671
672,EDGEFIELD PLAINS,EDGEFIELD PLAINS,672 EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 820672,1.40706369,103.9117556,820672
672A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,672A EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 821672,1.406414151,103.9126204,821672
672B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,672B EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 822672,1.40665275,103.9123125,822672
672C,EDGEFIELD PLAINS,EDGEFIELD PLAINS,672C EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 823672,1.407437024,103.9111965,823672
672D,EDGEFIELD PLAINS,EDGEFIELD PLAINS,672D EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 824672,1.407590312,103.9109236,824672
673,EDGEFIELD PLAINS,EDGEFIELD PLAINS,673A EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 821673,1.406676726,103.9116133,821673
673A,EDGEFIELD PLAINS,EDGEFIELD PLAINS,673A EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 821673,1.406676726,103.9116133,821673
673B,EDGEFIELD PLAINS,EDGEFIELD PLAINS,673B EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 822673,1.406977629,103.9110415,822673
673C,EDGEFIELD PLAINS,EDGEFIELD PLAINS,673C EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 823673,1.407221594,103.9105919,823673
674,EDGEFIELD PLAINS,EDGEFIELD PLAINS,674 EDGEFIELD PLAINS WATERWAY BANKS SINGAPORE 820674,1.407213715,103.9103675,820674
682,EDGEDALE PLAINS,EDGEDALE PLAINS,682 EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 820682,1.404032793,103.9157938,820682
682A,EDGEDALE PLAINS,EDGEDALE PLAINS,682A EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 821682,1.403547749,103.9162913,821682
682B,EDGEDALE PLAINS,EDGEDALE PLAINS,682B EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 822682,1.403411731,103.915952,822682
682C,EDGEDALE PLAINS,EDGEDALE PLAINS,682C EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 823682,1.403619895,103.9155247,823682
683,EDGEDALE PLAINS,EDGEDALE PLAINS,683 EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 820683,1.404152091,103.9151881,820683
683A,EDGEDALE PLAINS,EDGEDALE PLAINS,683A EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 821683,1.404263444,103.9153714,821683
683B,EDGEDALE PLAINS,EDGEDALE PLAINS,683B EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 822683,1.404701058,103.9149881,822683
683C,EDGEDALE PLAINS,EDGEDALE PLAINS,683C EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 823683,1.404073549,103.9146487,823683
684,EDGEDALE PLAINS,EDGEDALE PLAINS,684 EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 820684,1.403144479,103.9160658,820684
684A,EDGEDALE PLAINS,EDGEDALE PLAINS,684A EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 821684,1.402793795,103.9158786,821684
684B,EDGEDALE PLAINS,EDGEDALE PLAINS,684B EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 822684,1.403027132,103.9150056,822684
684C,EDGEDALE PLAINS,EDGEDALE PLAINS,684C EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 823684,1.403492387,103.9147653,823684
684D,EDGEDALE PLAINS,EDGEDALE PLAINS,684D EDGEDALE PLAINS WATERWAY VIEW SINGAPORE 824684,1.403651736,103.9140948,824684
